activeYearsEndDateMgr,active years end date manager,Person,xsd:string,,,what is the active years end date manager of <X>,what is the active years end date manager of <X>
activeYearsEndYearMgr,active years end year manager,Person,xsd:gYear,,,When is the active years end year manager of <X>,When is the active years end year manager of <X>
activeYearsStartDateMgr,active years start date manager,Person,xsd:date,,,When is the active years start date manager of <X>,When is the active years start date manager of <X>
activeYearsStartYearMgr,active years start year manager,Person,xsd:gYear,,,When is the active years start year manager of <X>,When is the active years start year manager of <X>
activity,activity,Person,owl:Thing,,,what is the activity of <X>,what is the activity of <X>
affair,affair,Person,xsd:string,,,what is the affair of <X>,what is the affair of <X>
age,age,Agent,xsd:integer,,,what is the age of <X>,what is the age of <X>
agency,agency,Person,owl:Thing,http://dbpedia.org/ontology/agency,750,what is the agency of <X>,what is the agency of <X>,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/agency> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/agency> [] . ?a a <http://dbpedia.org/ontology/Place> }
allegiance,allegiance,Person,xsd:string,http://dbpedia.org/ontology/allegiance,21032,what is the allegiance of <X>,what is the allegiance of <X>,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/allegiance> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/allegiance> [] . ?a a <http://dbpedia.org/ontology/Place> }
almaMater,alma mater,Person,EducationalInstitution,http://dbpedia.org/ontology/almaMater,131512,what is the alma mater of <X>,what is the alma mater of <X>,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/almaMater> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/almaMater> [] . ?a a <http://dbpedia.org/ontology/Place> }
announcedFrom,announcedFrom,Person,Place,,,Where is the announcedFrom of <X>,Where is the announcedFrom of <X>
approach,approach,Person,owl:Thing,,,what is the approach of <X>,what is the approach of <X>
arrestDate,arrest date,Person,xsd:date,,,When is the arrest date of <X>,When is the arrest date of <X>
artPatron,patron (art),Agent,Artist,,,what is the patron (art) of <X>,what is the patron (art) of <X>
artisticFunction,artistic function,Person,xsd:string,,,what is the artistic function of <X>,what is the artistic function of <X>
astrologicalSign,astrological sign,Person,owl:Thing,,,what is the astrological sign of <X>,what is the astrological sign of <X>
awardName,awardName,Person,xsd:string,,,what is the awardName of <X>,what is the awardName of <X>
badGuy,bad guy,Person,xsd:string,,,what is the bad guy of <X>,what is the bad guy of <X>
bestLap,best lap,Person,xsd:string,,,what is the best lap of <X>,what is the best lap of <X>
bigPoolRecord,big pool record,Person,xsd:string,,,what is the big pool record of <X>,what is the big pool record of <X>
