activeYearsEndDateMgr,active years end date manager,Person,xsd:string,,,who is the active years end date manager of <X>,who is the active years end date manager of <X>
activeYearsEndYearMgr,active years end year manager,Person,xsd:gYear,,,who is the active years end year manager of <X>,who is the active years end year manager of <X>
activeYearsStartDateMgr,active years start date manager,Person,xsd:date,,,who is the active years start date manager of <X>,who is the active years start date manager of <X>
activeYearsStartYearMgr,active years start year manager,Person,xsd:gYear,,,who is the active years start year manager of <X>,who is the active years start year manager of <X>
activity,activity,Person,owl:Thing,,,who is the activity of <X>,who is the activity of <X>
affair,affair,Person,xsd:string,,,who is the affair of <X>,who is the affair of <X>
age,age,Agent,xsd:integer,,,what is the age of <X>,what is the age of <X>
agency,agency,Person,owl:Thing,http://dbpedia.org/ontology/agency,750,who is the agency of <X>,who is the agency of <X>,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/agency> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/agency> [] . ?a a <http://dbpedia.org/ontology/Place> }
allegiance,allegiance,Person,xsd:string,http://dbpedia.org/ontology/allegiance,21032,who is the allegiance of <X>,who is the allegiance of <X>,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/allegiance> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/allegiance> [] . ?a a <http://dbpedia.org/ontology/Place> }
almaMater,alma mater,Person,EducationalInstitution,http://dbpedia.org/ontology/almaMater,131512,who is the alma mater of <X>,who is the alma mater of <X>,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/almaMater> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/almaMater> [] . ?a a <http://dbpedia.org/ontology/Place> }
announcedFrom,announcedFrom,Person,Place,,,who is the announcedFrom of <X>,who is the announcedFrom of <X>
approach,approach,Person,owl:Thing,,,who is the approach of <X>,who is the approach of <X>
arrestDate,arrest date,Person,xsd:date,,,who is the arrest date of <X>,who is the arrest date of <X>
artPatron,patron (art),Agent,Artist,,,what is the patron (art) of <X>,what is the patron (art) of <X>
artisticFunction,artistic function,Person,xsd:string,,,who is the artistic function of <X>,who is the artistic function of <X>
astrologicalSign,astrological sign,Person,owl:Thing,,,who is the astrological sign of <X>,who is the astrological sign of <X>
awardName,awardName,Person,xsd:string,,,who is the awardName of <X>,who is the awardName of <X>
badGuy,bad guy,Person,xsd:string,,,who is the bad guy of <X>,who is the bad guy of <X>
bestLap,best lap,Person,xsd:string,,,who is the best lap of <X>,who is the best lap of <X>
bigPoolRecord,big pool record,Person,xsd:string,,,who is the big pool record of <X>,who is the big pool record of <X>
birthDate,birth date,Person,xsd:date,http://dbpedia.org/ontology/birthDate,1740614,who is the birth date of <X>,who is the birth date of <X>,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/birthDate> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/birthDate> [] . ?a a <http://dbpedia.org/ontology/Place> }
birthName,birth name,Person,rdf:langString,http://dbpedia.org/ontology/birthName,79134,who is the birth name of <X>,who is the birth name of <X>,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/birthName> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/birthName> [] . ?a a <http://dbpedia.org/ontology/Place> }
birthPlace,birth place,Person,Place,http://dbpedia.org/ontology/birthPlace,1330297,who is the birth place of <X>,who is the birth place of <X>,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/birthPlace> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/birthPlace> [] . ?a a <http://dbpedia.org/ontology/Place> }
birthSign,birth sign,Person,owl:Thing,,,who is the birth sign of <X>,who is the birth sign of <X>
birthYear,birth year,Person,xsd:gYear,http://dbpedia.org/ontology/birthYear,160048,who is the birth year of <X>,who is the birth year of <X>,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/birthYear> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/birthYear> [] . ?a a <http://dbpedia.org/ontology/Place> }
bloodGroup,blood group,Person,xsd:string,,,who is the blood group of <X>,who is the blood group of <X>
bloodType,blood type,Person,owl:Thing,,,who is the blood type of <X>,who is the blood type of <X>
board,board,Person,owl:Thing,http://dbpedia.org/ontology/board,1936,who is the board of <X>,who is the board of <X>,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/board> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/board> [] . ?a a <http://dbpedia.org/ontology/Place> }
bodyDiscovered,body discovered,Person,Place,http://dbpedia.org/ontology/bodyDiscovered,233,who is the body discovered of <X>,who is the body discovered of <X>,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/bodyDiscovered> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/bodyDiscovered> [] . ?a a <http://dbpedia.org/ontology/Place> }
britishWins,british wins,Person,skos:Concept,,,who is the british wins of <X>,who is the british wins of <X>
